user_name,chat_id,question
Menar_qq,1159885417,Ректрр
Menar_qq,1159885417,Ректор
Menar_qq,1159885417,Аниме
Menar_qq,1159885417,Факультет
XXI4VA,886963378,Заведующая общежитием Мелешко Наталья Вениаминовна
XXI4VA,886963378,Где находится главный корпус СибГму
Menar_qq,1159885417,Ректор
Menar_qq,1159885417,Лечебный факультет
XXI4VA,886963378,Какие нужны документы для заселения
XXI4VA,886963378,Какие нужны документы для заселения в общежитие?
XXI4VA,886963378,Документы для заселения
XXI4VA,886963378,Воронин Евгений
I_V_Tolmachev,990404491,Солдатов Андрей кто это
I_V_Tolmachev,990404491,Кто такой Воронин Евгений
I_V_Tolmachev,990404491,Сколько разработок в СибГМУ
I_V_Tolmachev,990404491,расскажи про офтальмик
I_V_Tolmachev,990404491,офтальмик
I_V_Tolmachev,990404491,Телефон отдела кадров
pankeram,290447740,Лечебный факультет
pankeram,290447740,Лечебный факультет адрес
pankeram,290447740,научно-технологический центр
pankeram,290447740,плешков максим олегович
pankeram,290447740,ректор
pankeram,290447740,ректорат
